"Component","contributor","dataset_id","dataset_name","dataset_type","num_items","dataset_size","scheduled_release_date","released_destinations","status","release_date","upload_date","metadata_check","released","governance_compliance"
"DataFlow","FAIR demo data","syn35294937","biospecimen","Biospecimen","1","","","","","","",FALSE,FALSE,FALSE
"DataFlow","FAIR demo data","syn36003517","patient","Patient","3","","","","","","",FALSE,FALSE,FALSE
"DataFlow","FAIR demo data","syn36003526","bulk RNA seq","BulkRNA-seqAssay","1","","","","","","",FALSE,FALSE,FALSE
"DataFlow","FAIR demo data","syn44539618","MockComponent","Patient","4","","","","","","",FALSE,FALSE,FALSE
"DataFlow","FAIR demo data","syn51118988","other assay","OtherAssay","1","","","","","","",FALSE,FALSE,FALSE
"DataFlow","FAIR demo data","syn51339739","multi-user test","","","","","","","","",FALSE,FALSE,FALSE
"DataFlow","FAIR demo data","syn51340084","patient-test","Patient","144","","","","","","",FALSE,FALSE,FALSE
"DataFlow","FAIR demo data","syn51358894","Amy","Biospecimen","1","","","","","","",FALSE,FALSE,FALSE
"DataFlow","FAIR demo data","syn51358897","Abby VL","Biospecimen","1","","","","","","",FALSE,FALSE,FALSE
"DataFlow","FAIR demo data","syn51358898","Mieko","Biospecimen","1","","","","","","",FALSE,FALSE,FALSE
"DataFlow","FAIR demo data","syn51358903","Rixing","","","","","","","","",FALSE,FALSE,FALSE
"DataFlow","FAIR demo data","syn51358905","Milen","","","","","","","","",FALSE,FALSE,FALSE
"DataFlow","FAIR demo data","syn51358910","Abby W","","","","","","","","",FALSE,FALSE,FALSE
"DataFlow","FAIR demo data","syn51358911","Amelia","","","","","","","","",FALSE,FALSE,FALSE
"DataFlow","FAIR demo data","syn51358912","Andrew","","","","","","","","",FALSE,FALSE,FALSE
"DataFlow","FAIR demo data","syn51358914","Anthony","Biospecimen","1","","","","","","",FALSE,FALSE,FALSE
"DataFlow","FAIR demo data","syn51358916","Brad","","","","","","","","",FALSE,FALSE,FALSE
"DataFlow","FAIR demo data","syn51358920","Bruce","","","","","","","","",FALSE,FALSE,FALSE
"DataFlow","FAIR demo data","syn51358924","Loren","Patient","14","","","","","","",FALSE,FALSE,FALSE
"DataFlow","FAIR demo data","syn51358925","Lingling","","","","","","","","",FALSE,FALSE,FALSE
"DataFlow","FAIR demo data","syn51358929","Mialy","","","","","","","","",FALSE,FALSE,FALSE
"DataFlow","FAIR demo data","syn51358931","Milan","","","","","","","","",FALSE,FALSE,FALSE
"DataFlow","FAIR demo data","syn51358937","Nick","","","","","","","","",FALSE,FALSE,FALSE
"DataFlow","FAIR demo data","syn51362652","ex_extra_folder","","","","","","","","",FALSE,FALSE,FALSE
"DataFlow","FAIR demo data","syn51428328","Gianna","","","","","","","","",FALSE,FALSE,FALSE
"DataFlow","FAIR demo data","syn51565093","A Biospecimen","Biospecimen","1","","","","","","",FALSE,FALSE,FALSE
"DataFlow","FAIR demo data","syn51613478","Biospecimen_lung","Biospecimen","3","","","","","","",FALSE,FALSE,FALSE
"DataFlow","FAIR demo data","syn51613479","Biospecimen_colon","Biospecimen","4","","","","","","",FALSE,FALSE,FALSE
"DataFlow","FAIR demo data","syn51728852","tst123","","","","","","","","",FALSE,FALSE,FALSE
"DataFlow","FAIR demo data","syn52043071","Patient","","","","","","","","",FALSE,FALSE,FALSE
"DataFlow","FAIR demo data","syn52052806","B Biospecimen","","","","","","","","",FALSE,FALSE,FALSE
"DataFlow","FAIR demo data","syn52159754","Brian","Biospecimen","1","","","","","","",FALSE,FALSE,FALSE
"DataFlow","FAIR demo data","syn52201649","ImagingLevel2","ImagingLevel2","28","","","","","","",FALSE,FALSE,FALSE
"DataFlow","FAIR demo data","syn52223110","Biospecimen_Heart","","","","","","","","",FALSE,FALSE,FALSE
"DataFlow","FAIR demo data","syn52287223","file based test_15_aug_23","BulkRNA-seqAssay","1","","","","","","",FALSE,FALSE,FALSE
"DataFlow","FAIR demo data","syn52287256","Record test_Amy_15_aug_23","Biospecimen","2","","","","","","",FALSE,FALSE,FALSE
"DataFlow","FAIR demo data","syn52325823","Jon Ryser","","","","","","","","",FALSE,FALSE,FALSE
"DataFlow","FAIR demo data","syn52338075","Record test_Amy_8_24","Biospecimen","7","","","","","","",FALSE,FALSE,FALSE
"DataFlow","FAIR demo data","syn52338077","file test Amy_8_24","BulkRNA-seqAssay","1","","","","","","",FALSE,FALSE,FALSE
"DataFlow","FAIR demo data","syn52423535","Amy_1","BulkRNA-seqAssay","2","","","","","","",FALSE,FALSE,FALSE
"DataFlow","FAIR demo data","syn52844177","record based test_Amy Nov1","Biospecimen","1","","","","","","",FALSE,FALSE,FALSE
"DataFlow","FAIR demo data","syn52853686","Amy's new testing folder","","","","","","","","",FALSE,FALSE,FALSE
"DataFlow","FAIR Demo Project A","syn50896963","Biospecimen","Biospecimen","14","","","","","","",FALSE,FALSE,FALSE
"DataFlow","FAIR Demo Project A","syn50896965","Patient","Patient","14","","","","","","",FALSE,FALSE,FALSE
"DataFlow","FAIR Demo Project A","syn50900294","Sc_rna_seq_level1","ScRNA-seqLevel1","5","","","","","","",FALSE,FALSE,FALSE
"DataFlow","FAIR Demo Project A","syn50900295","Sc_rna_seq_level2","ScRNA-seqLevel2","4","","","","","","",FALSE,FALSE,FALSE
"DataFlow","FAIR Demo Project A","syn50900298","Sc_rna_seq_level3","","","","","","","","",FALSE,FALSE,FALSE
"DataFlow","FAIR Demo Project A","syn50907678","whole_exome_lvl1","BulkWESLevel1","23","","","","","","",FALSE,FALSE,FALSE
"DataFlow","FAIR Demo Project A","syn50907680","whole_exome_lvl3","BulkWESLevel3","4","","","","","","",FALSE,FALSE,FALSE
"DataFlow","FAIR Demo Project A","syn51196547","Archive_2020","","","","","","","","",FALSE,FALSE,FALSE
"DataFlow","FAIR Demo Project A","syn51210619","biospecimen_123","Biospecimen","14","","","","","","",FALSE,FALSE,FALSE
"DataFlow","FAIR Demo Project A","syn51728830","tsting123","","","","","","","","",FALSE,FALSE,FALSE
"DataFlow","FAIR Demo Project B","syn50907492","BIOSPEC","Biospecimen","14","","","","","","",FALSE,FALSE,FALSE
"DataFlow","FAIR Demo Project B","syn50907495","Patient","Patient","14","","","","","","",FALSE,FALSE,FALSE
"DataFlow","FAIR Demo Project B","syn50907500","Sc_rna_seq_level1","ScRNA-seqLevel1","5","","","","","","",FALSE,FALSE,FALSE
"DataFlow","FAIR Demo Project B","syn50907504","Sc_rna_seq_level_2","BulkWESLevel2","6","","","","","","",FALSE,FALSE,FALSE
"DataFlow","FAIR Demo Project B","syn50907506","Sc_rna_seq_level3","","","","","","","","",FALSE,FALSE,FALSE
"DataFlow","FAIR Demo Project B","syn51198797","SC_RNA_SEQ_LVL1_testing","ScRNA-seqLevel1","5","","","","","","",FALSE,FALSE,FALSE
"DataFlow","FAIR Demo Project B","syn53297196","new_folder_lw_scheduled_job_test","","","","","","","","",FALSE,FALSE,FALSE
