Component,contributor,dataset_id,dataset_name,dataset_type,num_items,metadata_check,upload_date,release_date,released_destinations,scheduled_release_date,released,status,dataset_size,governance_compliance
DataFlow,Neuroprotection and optic nerve regeneration in a mouse NF1 OPG model,syn22316952,Raw Data,,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Neuroprotection and optic nerve regeneration in a mouse NF1 OPG model,syn22317830,Immunohistochemistry (3 mo old animals),,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Neuroprotection and optic nerve regeneration in a mouse NF1 OPG model,syn22725170,Electron Microscopy of optic nerve - Nf1-OPG mice (3 mo old animals),,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Neuroprotection and optic nerve regeneration in a mouse NF1 OPG model,syn22761358,Immunohistochemistry (5 mo old animals),,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Neuroprotection and optic nerve regeneration in a mouse NF1 OPG model,syn22889489,Aim 3 (non-NF1 animal) data,,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Neuroprotection and optic nerve regeneration in a mouse NF1 OPG model,syn22889499,qPCR analysis,,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Neurofibromatosis Demo,syn22410515,RNASeq,,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Neurofibromatosis Demo,syn22410517,RNA-seq Test 2,RNASeqTemplate,4,FALSE,,,,,FALSE,,,FALSE
DataFlow,Neurofibromatosis Demo,syn24611057,Sample Seq Data,,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Neurofibromatosis Demo,syn24611067,Sample Imaging Data,ImagingAssayTemplate,3,FALSE,,,,,FALSE,,,FALSE
DataFlow,Neurofibromatosis Demo,syn25007853,App Demo,GenomicsAssayTemplate,1,FALSE,,,,,FALSE,,,FALSE
DataFlow,Neurofibromatosis Demo,syn25386362,RNA Sequencing 03-29-21,GenomicsAssayTemplate,2,FALSE,,,,,FALSE,,,FALSE
DataFlow,Neurofibromatosis Demo,syn25750653,RNA-seq batch subset,,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Neurofibromatosis Demo,syn48391539,Another RNA-seq folder,GenomicsAssayTemplate,1,FALSE,,,,,FALSE,,,FALSE
DataFlow,Neurofibromatosis Demo,syn53181344,Whole Genome Sequencing,,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Defining the factors that dictate the pattern of glioma formation in NF1,syn25881331,Raw Data,,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Defining the factors that dictate the pattern of glioma formation in NF1,syn33298098,"Fetal Brain, Olig2 Imaging",,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Defining the factors that dictate the pattern of glioma formation in NF1,syn33303256,"Fetal Brain, Ki67 Imaging",,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Defining the factors that dictate the pattern of glioma formation in NF1,syn33303262,"Fetal Brain, GFAP Imaging",,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Defining the factors that dictate the pattern of glioma formation in NF1,syn33732747,GFAP Milestone 1-2,,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Defining the factors that dictate the pattern of glioma formation in NF1,syn33754177,Ki67 Milestone 1-2,,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Defining the factors that dictate the pattern of glioma formation in NF1,syn33754756,Olig2 Milestone 1-2,,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Defining the factors that dictate the pattern of glioma formation in NF1,syn50613381,"Optic Nerve, Raw Images",,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Defining the factors that dictate the pattern of glioma formation in NF1,syn50613382,"Optic Nerve, Ki67 Staining",,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Defining the factors that dictate the pattern of glioma formation in NF1,syn50613383,"Optic Nerve, Iba1 Staining",,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Defining the factors that dictate the pattern of glioma formation in NF1,syn50613485,"Milestone 3, Ki67 OpN",,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Defining the factors that dictate the pattern of glioma formation in NF1,syn50613713,"Milestone 3, Iba1 OpN",,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Defining the factors that dictate the pattern of glioma formation in NF1,syn51928655,"Milestone 3, OpN raw images",,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Defining the factors that dictate the pattern of glioma formation in NF1,syn51928662,"Milestone 4, OpN Raw Images",ImagingAssayTemplate,20,FALSE,,,,,FALSE,,,FALSE
DataFlow,Defining the factors that dictate the pattern of glioma formation in NF1,syn51928832,"Milestone 4, Ki67 OpN",ImagingAssayTemplate,32,FALSE,,,,,FALSE,,,FALSE
DataFlow,Defining the factors that dictate the pattern of glioma formation in NF1,syn51930033,"Milestone 4, Iba1 OpN",ImagingAssayTemplate,29,FALSE,,,,,FALSE,,,FALSE
DataFlow,Defining the factors that dictate the pattern of glioma formation in NF1,syn53212015,"Milestone 5, OpN Raw Images",ImagingAssayTemplate,20,FALSE,,,,,FALSE,,,FALSE
DataFlow,Defining the factors that dictate the pattern of glioma formation in NF1,syn53212165,"Milestone 5, Ki67 OpN",ImagingAssayTemplate,33,FALSE,,,,,FALSE,,,FALSE
DataFlow,Defining the factors that dictate the pattern of glioma formation in NF1,syn53212272,"Milestone 5, Iba1 OpN",ImagingAssayTemplate,28,FALSE,,,,,FALSE,,,FALSE
DataFlow,Defining the factors that dictate the pattern of glioma formation in NF1,syn53212351,Energy Expenditure,,,FALSE,,,,,FALSE,,,FALSE
DataFlow,hIPSC modeling of sensory neuron-regulated NF1-deficient Schwann cell growth,syn33325769,Milestone 1,,,FALSE,,,,,FALSE,,,FALSE
DataFlow,hIPSC modeling of sensory neuron-regulated NF1-deficient Schwann cell growth,syn33325843,Milestone 2,,,FALSE,,,,,FALSE,,,FALSE
DataFlow,hIPSC modeling of sensory neuron-regulated NF1-deficient Schwann cell growth,syn43437856,Milestone 2 - Images,ImagingAssayTemplate,15,FALSE,,,,,FALSE,,,FALSE
DataFlow,hIPSC modeling of sensory neuron-regulated NF1-deficient Schwann cell growth,syn43438480,Fig 2B,,,FALSE,,,,,FALSE,,,FALSE
DataFlow,hIPSC modeling of sensory neuron-regulated NF1-deficient Schwann cell growth,syn43438538,Fig 2a,,,FALSE,,,,,FALSE,,,FALSE
DataFlow,hIPSC modeling of sensory neuron-regulated NF1-deficient Schwann cell growth,syn43438861,Fig 1,,,FALSE,,,,,FALSE,,,FALSE
DataFlow,hIPSC modeling of sensory neuron-regulated NF1-deficient Schwann cell growth,syn50529380,Milestone 3,,,FALSE,,,,,FALSE,,,FALSE
DataFlow,hIPSC modeling of sensory neuron-regulated NF1-deficient Schwann cell growth,syn51216448,Milestone 3 - Western Blot,ImagingAssayTemplate,4,FALSE,,,,,FALSE,,,FALSE
DataFlow,hIPSC modeling of sensory neuron-regulated NF1-deficient Schwann cell growth,syn51216449,Milestone 3 - Multi-Electrode-Array Analysis,,,FALSE,,,,,FALSE,,,FALSE
DataFlow,hIPSC modeling of sensory neuron-regulated NF1-deficient Schwann cell growth,syn51216551,Milestone 3 - plate-based colorimetric assays,GenomicsAssayTemplate,2,FALSE,,,,,FALSE,,,FALSE
DataFlow,hIPSC modeling of sensory neuron-regulated NF1-deficient Schwann cell growth,syn51216552,Milestone 1 - plate-based colorimetric assays,PlateBasedReporterAssayTemplate,1,FALSE,,,,,FALSE,,,FALSE
DataFlow,hIPSC modeling of sensory neuron-regulated NF1-deficient Schwann cell growth,syn51216553,Milestone 1 - graphs,GenomicsAssayTemplate,6,FALSE,,,,,FALSE,,,FALSE
DataFlow,hIPSC modeling of sensory neuron-regulated NF1-deficient Schwann cell growth,syn51216728,Milestone 2 - graphs,GenomicsAssayTemplate,4,FALSE,,,,,FALSE,,,FALSE
DataFlow,hIPSC modeling of sensory neuron-regulated NF1-deficient Schwann cell growth,syn51216732,Milestone 2 - cell counts excel sheets,GenomicsAssayTemplate,6,FALSE,,,,,FALSE,,,FALSE
DataFlow,hIPSC modeling of sensory neuron-regulated NF1-deficient Schwann cell growth,syn51286546,Milestone 3 - MEA key,GenomicsAssayTemplate,1,FALSE,,,,,FALSE,,,FALSE
DataFlow,hIPSC modeling of sensory neuron-regulated NF1-deficient Schwann cell growth,syn51770868,Milestone 4,PlateBasedReporterAssayTemplate,2,FALSE,,,,,FALSE,,,FALSE
DataFlow,hIPSC modeling of sensory neuron-regulated NF1-deficient Schwann cell growth,syn53181737,Milestone 5,,,FALSE,,,,,FALSE,,,FALSE
DataFlow,hIPSC modeling of sensory neuron-regulated NF1-deficient Schwann cell growth,syn53181742,Western blot images,ImagingAssayTemplate,5,FALSE,,,,,FALSE,,,FALSE
DataFlow,hIPSC modeling of sensory neuron-regulated NF1-deficient Schwann cell growth,syn53181749,Immunocytochemistry images,ImagingAssayTemplate,16,FALSE,,,,,FALSE,,,FALSE
DataFlow,hIPSC modeling of sensory neuron-regulated NF1-deficient Schwann cell growth,syn53181761,qPCR analysis,ProcessedExpressionTemplate,12,FALSE,,,,,FALSE,,,FALSE
DataFlow,hIPSC modeling of sensory neuron-regulated NF1-deficient Schwann cell growth,syn53479336,Milestone 5 - analyzed images,ProcessedExpressionTemplate,3,FALSE,,,,,FALSE,,,FALSE
DataFlow,hIPSC modeling of sensory neuron-regulated NF1-deficient Schwann cell growth,syn53479343,Milestone 4 - analyzed images,ProcessedExpressionTemplate,3,FALSE,,,,,FALSE,,,FALSE
DataFlow,Leveraging patient-derived cutaneous neurofibroma organoid models to identify biomarkers of drug response,syn51301413,Patient Metadata (cohort 1),,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Leveraging patient-derived cutaneous neurofibroma organoid models to identify biomarkers of drug response,syn51301414,Drug Screening (cohort 1),,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Leveraging patient-derived cutaneous neurofibroma organoid models to identify biomarkers of drug response,syn51301415,Whole Genome Sequencing (cohort 1),,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Leveraging patient-derived cutaneous neurofibroma organoid models to identify biomarkers of drug response,syn51301416,RNAseq of cNF Tumors (cohort 1),,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Leveraging patient-derived cutaneous neurofibroma organoid models to identify biomarkers of drug response,syn51301417,Proteomic data of cNF tumors (cohort 1),,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Leveraging patient-derived cutaneous neurofibroma organoid models to identify biomarkers of drug response,syn51301418,Predictive modeling,,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Leveraging patient-derived cutaneous neurofibroma organoid models to identify biomarkers of drug response,syn51301419,Patient Metadata (cohort 2),,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Leveraging patient-derived cutaneous neurofibroma organoid models to identify biomarkers of drug response,syn51301420,Drug Screening (cohort 2),,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Leveraging patient-derived cutaneous neurofibroma organoid models to identify biomarkers of drug response,syn51301421,Whole Genome Sequencing (cohort 2),,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Leveraging patient-derived cutaneous neurofibroma organoid models to identify biomarkers of drug response,syn51301422,RNAseq of cNF Tumors (cohort 2),,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Leveraging patient-derived cutaneous neurofibroma organoid models to identify biomarkers of drug response,syn51301423,Proteomic data of cNF tumors (cohort 2),,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Leveraging patient-derived cutaneous neurofibroma organoid models to identify biomarkers of drug response,syn51301424,Predictive modeling 1,,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Leveraging patient-derived cutaneous neurofibroma organoid models to identify biomarkers of drug response,syn51301425,Patient Metadata (cohort 3),,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Leveraging patient-derived cutaneous neurofibroma organoid models to identify biomarkers of drug response,syn51301426,Drug Screening (cohort 3),,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Leveraging patient-derived cutaneous neurofibroma organoid models to identify biomarkers of drug response,syn51301427,Whole Genome Sequencing (cohort 3),,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Leveraging patient-derived cutaneous neurofibroma organoid models to identify biomarkers of drug response,syn51301428,RNAseq of cNF Tumors (cohort 3),,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Leveraging patient-derived cutaneous neurofibroma organoid models to identify biomarkers of drug response,syn51301429,Proteomic data of cNF tumors (cohort 3),,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Leveraging patient-derived cutaneous neurofibroma organoid models to identify biomarkers of drug response,syn51301430,Predictive modeling 2,,,FALSE,,,,,FALSE,,,FALSE
DataFlow,A Whole Animal Approach For Developing A Novel cNF Therapeutic Lead,syn51333302,Drosophila NF1 Screen Protocol,,,FALSE,,,,,FALSE,,,FALSE
DataFlow,A Whole Animal Approach For Developing A Novel cNF Therapeutic Lead,syn51333303,NF1 Functional Kinome Screen,,,FALSE,,,,,FALSE,,,FALSE
DataFlow,A Whole Animal Approach For Developing A Novel cNF Therapeutic Lead,syn51333304,Kinome phenotyping images,,,FALSE,,,,,FALSE,,,FALSE
DataFlow,A Whole Animal Approach For Developing A Novel cNF Therapeutic Lead,syn51333305,Kinome phenotyping measurements,,,FALSE,,,,,FALSE,,,FALSE
DataFlow,A Whole Animal Approach For Developing A Novel cNF Therapeutic Lead,syn51333306,Kinome phenotyping measurements 1,,,FALSE,,,,,FALSE,,,FALSE
DataFlow,A Whole Animal Approach For Developing A Novel cNF Therapeutic Lead,syn51333307,Kinome phenotyping images (secondary members),,,FALSE,,,,,FALSE,,,FALSE
DataFlow,A Whole Animal Approach For Developing A Novel cNF Therapeutic Lead,syn51333308,Kinome phenotyping measurements (secondary members),,,FALSE,,,,,FALSE,,,FALSE
DataFlow,A Whole Animal Approach For Developing A Novel cNF Therapeutic Lead,syn51333309,Kinome phenotyping measurements (secondary members) 1,,,FALSE,,,,,FALSE,,,FALSE
DataFlow,A Whole Animal Approach For Developing A Novel cNF Therapeutic Lead,syn51333310,Mosaic clone candidate kinase screen,,,FALSE,,,,,FALSE,,,FALSE
DataFlow,A Whole Animal Approach For Developing A Novel cNF Therapeutic Lead,syn51333311,Mosaic clone candidate kinase screen 1,,,FALSE,,,,,FALSE,,,FALSE
DataFlow,A Whole Animal Approach For Developing A Novel cNF Therapeutic Lead,syn51333312,Phenotyping candidate hits,,,FALSE,,,,,FALSE,,,FALSE
DataFlow,A Whole Animal Approach For Developing A Novel cNF Therapeutic Lead,syn51333313,RNAi-knockdown,,,FALSE,,,,,FALSE,,,FALSE
DataFlow,A Whole Animal Approach For Developing A Novel cNF Therapeutic Lead,syn51333314,Drosophila eye disc twin spot assay protocol,,,FALSE,,,,,FALSE,,,FALSE
DataFlow,A Whole Animal Approach For Developing A Novel cNF Therapeutic Lead,syn51333315,Viability assays,,,FALSE,,,,,FALSE,,,FALSE
DataFlow,A Whole Animal Approach For Developing A Novel cNF Therapeutic Lead,syn51333316,Phenotyping top compounds,,,FALSE,,,,,FALSE,,,FALSE
DataFlow,A Whole Animal Approach For Developing A Novel cNF Therapeutic Lead,syn51333317,Twin spot assays,,,FALSE,,,,,FALSE,,,FALSE
DataFlow,A Whole Animal Approach For Developing A Novel cNF Therapeutic Lead,syn51333318,Twin spot assays 1,,,FALSE,,,,,FALSE,,,FALSE
DataFlow,A Whole Animal Approach For Developing A Novel cNF Therapeutic Lead,syn51333319,RNAi-knockdown 1,,,FALSE,,,,,FALSE,,,FALSE
DataFlow,A Whole Animal Approach For Developing A Novel cNF Therapeutic Lead,syn51333320,Mouse NF1 neurospheroid cell competition assays,,,FALSE,,,,,FALSE,,,FALSE
DataFlow,A Whole Animal Approach For Developing A Novel cNF Therapeutic Lead,syn51333321,Mouse NF1 neurospheroid cell competition assays (mixed cultures),,,FALSE,,,,,FALSE,,,FALSE
DataFlow,A Whole Animal Approach For Developing A Novel cNF Therapeutic Lead,syn51333322,Mouse NF1 neurospheroid IHC,,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Optical Detection of Nascent cNF and Development of a Laser Treatment Strategy,syn51356709,Photographs of cohort1-timepoint1,,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Optical Detection of Nascent cNF and Development of a Laser Treatment Strategy,syn51356710,SFDI of cohort1-timepoint1,,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Optical Detection of Nascent cNF and Development of a Laser Treatment Strategy,syn51356711,OCT of cohort1-timepoint1,,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Optical Detection of Nascent cNF and Development of a Laser Treatment Strategy,syn51356712,PAS of cohort1-timepoint1,,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Optical Detection of Nascent cNF and Development of a Laser Treatment Strategy,syn51356713,IHC of cohort1-timepoint1,,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Optical Detection of Nascent cNF and Development of a Laser Treatment Strategy,syn51356714,Protocols,,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Optical Detection of Nascent cNF and Development of a Laser Treatment Strategy,syn51356715,Photographs of cohort2-timepoint1,,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Optical Detection of Nascent cNF and Development of a Laser Treatment Strategy,syn51356716,SFDI of cohort2-timepoint1,,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Optical Detection of Nascent cNF and Development of a Laser Treatment Strategy,syn51356717,OCT of cohort2-timepoint1,,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Optical Detection of Nascent cNF and Development of a Laser Treatment Strategy,syn51356718,PAS of cohort2-timepoint1,,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Optical Detection of Nascent cNF and Development of a Laser Treatment Strategy,syn51356719,Model,,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Optical Detection of Nascent cNF and Development of a Laser Treatment Strategy,syn51356720,Photographs of cohort1-timepoint2,,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Optical Detection of Nascent cNF and Development of a Laser Treatment Strategy,syn51356721,SFDI of cohort1-timepoint2,,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Optical Detection of Nascent cNF and Development of a Laser Treatment Strategy,syn51356722,OCT of cohort1-timepoint2,,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Optical Detection of Nascent cNF and Development of a Laser Treatment Strategy,syn51356723,PAS of cohort1-timepoint2,,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Optical Detection of Nascent cNF and Development of a Laser Treatment Strategy,syn51356724,Photographs of cohort2-timepoint2,,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Optical Detection of Nascent cNF and Development of a Laser Treatment Strategy,syn51356725,Photographs of cohort2-timepoint2 1,,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Optical Detection of Nascent cNF and Development of a Laser Treatment Strategy,syn51356726,SFDI of cohort2-timepoint2,,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Optical Detection of Nascent cNF and Development of a Laser Treatment Strategy,syn51356727,OCT of cohort2-timepoint2,,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Optical Detection of Nascent cNF and Development of a Laser Treatment Strategy,syn51356728,PAS of cohort2-timepoint2,,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Optical Detection of Nascent cNF and Development of a Laser Treatment Strategy,syn51356729,Histology of cohort2-timepoint2,,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Optical Detection of Nascent cNF and Development of a Laser Treatment Strategy,syn51356730,Photographs of cohort1-timepoint3,,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Optical Detection of Nascent cNF and Development of a Laser Treatment Strategy,syn51356731,Photographs of cohort1-timepoint3 1,,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Optical Detection of Nascent cNF and Development of a Laser Treatment Strategy,syn51356732,SFDI of cohort1-timepoint3,,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Optical Detection of Nascent cNF and Development of a Laser Treatment Strategy,syn51356733,OCT of cohort1-timepoint3,,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Optical Detection of Nascent cNF and Development of a Laser Treatment Strategy,syn51356734,PAS of cohort1-timepoint3,,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Optical Detection of Nascent cNF and Development of a Laser Treatment Strategy,syn51356735,Histology of cohort1-timepoint3,,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Optical Detection of Nascent cNF and Development of a Laser Treatment Strategy,syn51356736,Photographs of cohort2-timepoint3,,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Optical Detection of Nascent cNF and Development of a Laser Treatment Strategy,syn51356737,SFDI of cohort2-timepoint3,,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Optical Detection of Nascent cNF and Development of a Laser Treatment Strategy,syn51356738,OCT of cohort2-timepoint3,,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Optical Detection of Nascent cNF and Development of a Laser Treatment Strategy,syn51356739,PAS of cohort2-timepoint3,,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Optical Detection of Nascent cNF and Development of a Laser Treatment Strategy,syn51356740,Histology of cohort2-timepoint3,,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Exploring the role of cutaneous innervation in the initiation and development of cNFs in neurofibromatosis type 1,syn51356828,Aim 1_Protocols,,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Exploring the role of cutaneous innervation in the initiation and development of cNFs in neurofibromatosis type 1,syn51356829,Aim1_NF1 Patients_IHC,,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Exploring the role of cutaneous innervation in the initiation and development of cNFs in neurofibromatosis type 1,syn52811687,Aim1_Nf1-KO Mice_IHC,,,FALSE,,,,,FALSE,,,FALSE
DataFlow,Exploring the role of cutaneous innervation in the initiation and development of cNFs in neurofibromatosis type 1,syn52811688,Mice_TOM+SP+TH,,,FALSE,,,,,FALSE,,,FALSE
